,class ,machine
CAD_A549_rep1.1,A549,1
CAD_A549_rep1.2,A549,1
CAD_A549_rep1.3,A549,1
CAD_A549_rep1.4,A549,1
CAD_A549_rep2.1,A549,1
CAD_A549_rep2.2,A549,1
CAD_A549_rep2.3,A549,1
CAD_A549_rep2.4,A549,1
CAD_A549_rep3.1,A549,1
CAD_A549_rep3.2,A549,1
CAD_A549_rep3.3,A549,1
CAD_A549_rep3.4,A549,1
CAD_K562_rep1.1,K562,1
CAD_K562_rep1.2,K562,1
CAD_K562_rep1.3,K562,1
CAD_K562_rep1.4,K562,1
CAD_K562_rep2.1,K562,1
CAD_K562_rep2.2,K562,1
CAD_K562_rep2.3,K562,1
CAD_K562_rep2.4,K562,1
CAD_K562_rep3.1,K562,1
CAD_K562_rep3.2,K562,1
CAD_K562_rep3.3,K562,1
CAD_K562_rep3.4,K562,1
N_A549_rep1.1,A549,2
N_A549_rep1.2,A549,2
N_A549_rep1.3,A549,2
N_A549_rep1.4,A549,2
N_A549_rep2.1,A549,2
N_A549_rep2.2,A549,2
N_A549_rep2.3,A549,2
N_A549_rep2.4,A549,2
N_A549_rep3.1,A549,2
N_A549_rep3.2,A549,2
N_A549_rep3.3,A549,2
N_A549_rep3.4,A549,2
N_K562_rep1.1,K562,2
N_K562_rep1.2,K562,2
N_K562_rep1.3,K562,2
N_K562_rep1.4,K562,2
N_K562_rep2.1,K562,2
N_K562_rep2.2,K562,2
N_K562_rep2.3,K562,2
N_K562_rep2.4,K562,2
N_K562_rep3.1,K562,2
N_K562_rep3.2,K562,2
N_K562_rep3.3,K562,2
N_K562_rep3.4,K562,2
