,CAD_A549_rep1.1,CAD_A549_rep1.2,CAD_A549_rep1.3,CAD_A549_rep1.4,CAD_A549_rep2.1,CAD_A549_rep2.2,CAD_A549_rep2.3,CAD_A549_rep2.4,CAD_A549_rep3.1,CAD_A549_rep3.2,CAD_A549_rep3.3,CAD_A549_rep3.4,CAD_K562_rep1.1,CAD_K562_rep1.2,CAD_K562_rep1.3,CAD_K562_rep1.4,CAD_K562_rep2.1,CAD_K562_rep2.2,CAD_K562_rep2.3,CAD_K562_rep2.4,CAD_K562_rep3.1,CAD_K562_rep3.2,CAD_K562_rep3.3,CAD_K562_rep3.4,N_A549_rep1.1,N_A549_rep1.2,N_A549_rep1.3,N_A549_rep1.4,N_A549_rep2.1,N_A549_rep2.2,N_A549_rep2.3,N_A549_rep2.4,N_A549_rep3.1,N_A549_rep3.2,N_A549_rep3.3,N_A549_rep3.4,N_K562_rep1.1,N_K562_rep1.2,N_K562_rep1.3,N_K562_rep1.4,N_K562_rep2.1,N_K562_rep2.2,N_K562_rep2.3,N_K562_rep2.4,N_K562_rep3.1,N_K562_rep3.2,N_K562_rep3.3,N_K562_rep3.4
A0A075B767,17.69743554,NA,17.63304765,17.76536685,17.70088203,17.77610977,17.26559042,17.82219979,18.02494452,12.68396395,NA,17.65408496,13.07361792,NA,14.04098632,15.00538771,13.97404742,NA,14.8640102,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.67194514,11.56245371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5106457,NA,NA,NA,NA,NA,NA,11.69584761
A0A096LP01,15.68054559,15.65680387,15.54634412,15.49538319,15.57279954,15.47562895,15.41605825,15.52951047,15.54433034,15.7803706,NA,15.71773928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.49521496,15.71326694,15.24178638,15.45718719,NA,15.70837899,15.77130324,15.52453529,15.47596665,15.67395698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0B4J2A2,NA,NA,NA,18.41808896,NA,18.2119131,18.28464764,18.35346614,NA,NA,NA,18.53040931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.96171596,NA,NA,NA,NA,NA,NA,18.73632331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0B4J2D5,18.85866536,18.63383673,18.78044781,18.93864836,19.29569115,18.88843082,18.62600771,18.65344285,19.1855951,18.63111853,18.65760533,18.94427024,20.56820618,20.28818862,20.45996585,20.53897,21.16034848,20.69230654,20.72969998,20.8247178,20.63177753,20.44007014,20.42050553,20.54653165,19.22346842,19.21782355,19.12095401,19.21666582,19.10385484,18.69632874,19.36185149,18.97383257,19.46492372,19.01028428,19.65964476,19.06974803,20.93846344,20.53601324,20.92626559,20.97576304,21.19394027,21.16661609,20.99431207,21.13221165,20.58190614,20.63150934,20.99676068,20.858996
A0A0B4J2F0,NA,NA,15.88575046,16.14856139,15.51429375,15.97895306,14.7117623,15.40355716,15.11451905,NA,15.68742993,15.70493633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A0U1RRE5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.38959908,14.75951935,14.21557168,15.3005138,NA,14.98222582,15.21954995,NA,NA,15.29089927,15.11467374,NA,NA,NA,NA,NA,NA,12.82459949,NA,NA,NA,NA,NA
A0A0U1RRL7,17.10211494,17.27074263,17.39202975,17.24717625,16.71102915,16.97162079,17.18680988,17.11171592,16.82436972,17.04716599,17.19860542,17.26966693,NA,14.89099732,NA,14.44765183,NA,NA,NA,NA,NA,NA,NA,14.61570383,15.74814103,15.48911812,16.44792928,15.66143325,15.84410942,15.72218716,15.88753027,16.00296375,16.12818629,16.05895906,16.14182914,15.96074907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A2R8Y4L2,15.11198982,15.22220246,15.04345255,NA,15.26570433,15.0402964,15.50358921,15.59383845,14.98640725,14.97771245,15.24523478,15.29238397,17.94508451,17.90648325,17.6181975,17.58898058,17.0655534,17.85214921,17.84717225,17.51529713,17.35478769,17.09256277,17.12398304,17.06798751,15.60249503,15.61851074,15.55358841,15.75139878,16.12641067,15.89348901,15.95479882,16.12685367,15.92535045,15.77534001,16.00500122,16.1992431,17.68385316,18.34338323,18.34014349,18.16892973,18.24216174,17.79582305,18.4181911,18.2705627,18.13389742,18.01720957,17.84360637,18.00767721
A0A804HLA8,17.32596716,17.13843431,17.31916633,17.2963183,17.32065364,17.33352856,17.24499731,17.25268954,16.75344365,16.00098896,15.92294747,15.95384837,18.18000868,17.91605672,17.92579763,18.03223932,18.06486557,17.9737366,18.02666359,18.11994356,18.09458237,18.00694851,17.93531776,18.04755424,16.97689198,17.04516304,16.29342261,16.4573214,17.39794949,16.34885064,16.16714213,17.4025985,15.41421648,15.71050494,15.03535456,NA,18.18928986,17.77794695,18.21079232,18.01373311,18.00067555,17.94558786,18.0626363,18.22827429,17.86940239,18.03885385,18.1760127,17.96366535
A0AV96,20.72143977,20.61844636,20.70342694,20.75616545,20.65585832,20.7454219,20.81886471,20.74907772,20.72539455,20.56884568,20.02727672,20.74492645,16.03191482,15.99500387,NA,15.96135624,16.94095158,16.04501261,15.92314663,16.91311877,16.08955517,NA,NA,16.8105198,20.50533038,20.70666936,20.48724163,20.74619101,20.95855852,20.81836381,20.49274394,20.57993442,20.70333932,20.39799188,20.48558092,20.39171139,17.04369986,NA,17.00517276,17.36383104,16.95590181,16.49215989,NA,17.1594832,NA,13.14120158,17.21926326,16.50700762
