,CAD_HCC1806_rep1.1,CAD_HCC1806_rep1.2,CAD_HCC1806_rep1.3,CAD_HCC1806_rep2.1,CAD_HCC1806_rep2.2,CAD_HCC1806_rep2.3,CAD_HCC1806_rep3.1,CAD_HCC1806_rep3.2,CAD_HCC1806_rep3.3,CAD_HS578T_rep1.1,CAD_HS578T_rep1.2,CAD_HS578T_rep1.3,CAD_HS578T_rep2.1,CAD_HS578T_rep2.2,CAD_HS578T_rep2.3,CAD_HS578T_rep3.1,CAD_HS578T_rep3.2,CAD_HS578T_rep3.3,N_HCC1806_rep1.1,N_HCC1806_rep1.2,N_HCC1806_rep1.3,N_HCC1806_rep2.1,N_HCC1806_rep2.2,N_HCC1806_rep2.3,N_HCC1806_rep3.1,N_HCC1806_rep3.2,N_HCC1806_rep3.3,N_HS578T_rep1.1,N_HS578T_rep1.2,N_HS578T_rep1.3,N_HS578T_rep2.1,N_HS578T_rep2.2,N_HS578T_rep2.3,N_HS578T_rep3.1,N_HS578T_rep3.2,N_HS578T_rep3.3
A0A075B767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1318118,14.47579282,12.35786525,14.34518989,14.41902278,NA,14.2765256,13.50375333,13.97810659,NA,13.93583181,13.74524122,NA,NA,NA,NA
A0A0B4J2D5,20.04007764,20.05559649,20.04439665,20.2100739,20.00769855,20.17602629,19.95199311,19.98101402,20.05363148,19.36662125,19.51799841,19.54705173,19.68270565,19.68351939,19.70253807,19.40308569,19.40821868,19.39533184,20.44211544,20.30244135,20.47285234,20.53833389,20.45362934,20.45121162,20.49244881,20.49752939,20.50596019,19.83931982,19.7651182,19.82820235,19.68910119,19.77299702,19.71090193,19.72509078,19.67046219,19.84937236
A0A0U1RRE5,14.62150092,14.72573727,14.56881373,14.41031082,14.85345338,14.7201473,14.77412227,15.10721217,14.93293684,NA,NA,NA,NA,NA,11.99619979,NA,NA,NA,15.6432388,15.76362411,15.81251783,15.73262615,15.7831935,15.70256962,15.8245893,15.85834039,15.80379451,NA,14.50125016,14.73410509,14.48634036,14.39882063,NA,14.1901256,13.6180599,14.54026344
A0A2R8Y4L2,15.88593929,13.72992319,15.91016394,16.23583156,15.51400979,14.12618579,15.75776814,15.98970937,14.49416056,17.13384711,17.07262106,17.15216906,17.23987464,17.49535773,17.29593947,17.27638298,17.36489846,17.23542416,16.85452778,16.9386757,16.95935891,16.50004411,16.73675165,16.84331825,16.92269508,16.63004482,17.0585949,17.8500243,17.934408,17.69401543,17.59000708,17.77346835,17.66294974,17.69418197,17.76566449,17.82038635
A0A3B3IRV3,17.64566153,17.71866291,17.69336744,17.7961662,17.66805991,17.31429469,17.70868651,17.74087125,17.30239403,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.26594902,16.37959379,16.98360945,17.00804218,16.89595519,16.60013353,16.38414687,16.40657341,16.70790505,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A3B3IS91,NA,16.81226607,NA,16.81355375,NA,16.84771327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.14489101,17.25412337,17.15865012,17.39815639,17.35603838,17.3747353,17.48973807,17.44482927,17.32167738,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0AV96,19.37805256,18.8500028,19.06497493,19.2288781,19.08788508,19.07556715,19.16760607,18.9383005,19.06192515,NA,NA,NA,NA,15.33358271,NA,NA,14.74740293,NA,19.65986712,19.40670452,19.31361734,19.60315136,19.38015359,19.69636735,19.52362692,19.5226657,19.23866946,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0AVF1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.05428816,14.75139431,13.76395614,13.43911364,13.94990548,13.71482366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0AVK6,NA,NA,NA,NA,15.01206339,16.08984148,NA,NA,16.61242133,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.51071334,14.60226356,NA,15.77034814,15.62707539,14.48002997,15.80089694,14.66456067,15.55678129,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0AVT1,22.60187675,22.39226409,22.55319921,22.49399968,22.54627241,22.46034278,22.19528238,22.60432507,22.28266667,21.6406622,22.06001541,22.19113213,21.61753786,22.20414707,21.55238251,21.63862779,21.52471937,22.11453746,22.4682719,22.48163489,22.38563718,22.23334422,22.10858938,22.03222384,22.14276195,21.97110356,22.212005,21.3420675,21.56237091,21.58511329,21.51811082,21.41701178,21.43290233,21.5265767,21.35386724,21.30735248
