,class ,machine
CAD_HCC1806_rep1_1,HCC1806,1
CAD_HCC1806_rep1_2,HCC1806,1
CAD_HCC1806_rep1_3,HCC1806,1
CAD_HCC1806_rep2_1,HCC1806,1
CAD_HCC1806_rep2_2,HCC1806,1
CAD_HCC1806_rep2_3,HCC1806,1
CAD_HCC1806_rep3_1,HCC1806,1
CAD_HCC1806_rep3_2,HCC1806,1
CAD_HCC1806_rep3_3,HCC1806,1
CAD_HS578T_rep1_1,HS578T,1
CAD_HS578T_rep1_2,HS578T,1
CAD_HS578T_rep1_3,HS578T,1
CAD_HS578T_rep2_1,HS578T,1
CAD_HS578T_rep2_2,HS578T,1
CAD_HS578T_rep2_3,HS578T,1
CAD_HS578T_rep3_1,HS578T,1
CAD_HS578T_rep3_2,HS578T,1
CAD_HS578T_rep3_3,HS578T,1
N_HCC1806_rep1_1,HCC1806,2
N_HCC1806_rep1_2,HCC1806,2
N_HCC1806_rep1_3,HCC1806,2
N_HCC1806_rep2_1,HCC1806,2
N_HCC1806_rep2_2,HCC1806,2
N_HCC1806_rep2_3,HCC1806,2
N_HCC1806_rep3_1,HCC1806,2
N_HCC1806_rep3_2,HCC1806,2
N_HCC1806_rep3_3,HCC1806,2
N_HS578T_rep1_1,HS578T,2
N_HS578T_rep1_2,HS578T,2
N_HS578T_rep1_3,HS578T,2
N_HS578T_rep2_1,HS578T,2
N_HS578T_rep2_2,HS578T,2
N_HS578T_rep2_3,HS578T,2
N_HS578T_rep3_1,HS578T,2
N_HS578T_rep3_2,HS578T,2
N_HS578T_rep3_3,HS578T,2
