,CAD_HCC1806_rep1.1,CAD_HCC1806_rep1.2,CAD_HCC1806_rep1.3,CAD_HCC1806_rep2.1,CAD_HCC1806_rep2.2,CAD_HCC1806_rep2.3,CAD_HCC1806_rep3.1,CAD_HCC1806_rep3.2,CAD_HCC1806_rep3.3,CAD_HS578T_rep1.1,CAD_HS578T_rep1.2,CAD_HS578T_rep1.3,CAD_HS578T_rep2.1,CAD_HS578T_rep2.2,CAD_HS578T_rep2.3,CAD_HS578T_rep3.1,CAD_HS578T_rep3.2,CAD_HS578T_rep3.3,N_HCC1806_rep1.1,N_HCC1806_rep1.2,N_HCC1806_rep1.3,N_HCC1806_rep2.1,N_HCC1806_rep2.2,N_HCC1806_rep2.3,N_HCC1806_rep3.1,N_HCC1806_rep3.2,N_HCC1806_rep3.3,N_HS578T_rep1.1,N_HS578T_rep1.2,N_HS578T_rep1.3,N_HS578T_rep2.1,N_HS578T_rep2.2,N_HS578T_rep2.3,N_HS578T_rep3.1,N_HS578T_rep3.2,N_HS578T_rep3.3
A0A024RBG1,11.9641134,12.05780224,11.73935871,11.8859518,12.41032149,12.01865573,12.2828336,11.91209968,12.11019618,11.81782309,12.07043629,11.73129781,11.7401307,11.44061486,11.98583482,11.04775103,11.95803789,11.53890186,11.66655689,11.45437127,11.05442117,11.53298411,11.35526299,11.54607451,11.61355007,11.53737373,10.92439685,11.5115056,11.77262799,11.01798452,11.75723998,11.35943112,10.98388429,11.14645412,11.15499527,11.44357039
A0A087WUL8,NA,NA,NA,14.77491057,14.93349242,14.73211972,14.9704924,14.46452661,14.65960017,NA,NA,NA,NA,15.40657374,15.08270625,15.14472196,15.29968025,NA,14.7633265,14.77514213,14.63516261,14.27160892,14.41867619,14.43711484,14.43499954,14.37903309,14.3577513,15.40972903,15.26860413,15.46968633,NA,15.39037387,NA,15.61802983,15.48609966,NA
P0DPI2;A0A0B4J2D5,16.47185617,16.46811648,16.49656827,16.55112695,16.63383248,16.62696381,16.62089278,16.68174627,16.59981262,15.99339176,15.95852779,15.89970622,15.89901226,15.95282086,16.00419632,16.00758797,16.07786718,15.99849127,16.56421202,16.68133451,16.63067951,16.59521377,16.68696552,16.59675465,16.5079154,16.67526793,16.65458009,16.12538522,16.09748077,16.14656072,16.00997729,16.09555979,15.98439398,16.00275789,15.99403737,16.09500959
A0A0J9YWL9,12.69507818,12.85243002,12.79464736,12.81320199,12.87564186,12.85072794,12.94029891,13.13373946,12.88916169,14.33607413,14.43430895,14.12816353,14.139935,14.26323985,14.27704034,14.17999459,14.19208472,14.51048603,13.37757658,13.07900303,13.12062669,13.38184033,13.12604782,13.19160367,13.06115008,12.8669215,12.91957845,14.60364952,14.59097293,14.54076374,14.44343571,14.71763894,14.71338651,14.43953873,14.79723088,14.65186455
A0AV02,12.05487221,11.90176067,12.01555792,12.01969149,11.68845577,12.01227185,11.96045089,11.45195288,11.84449001,12.02147279,NA,NA,11.87402077,NA,12.0624071,12.39971852,NA,11.84606231,12.26881098,12.36482956,12.36241509,NA,12.59971065,NA,12.30966393,NA,12.68042766,12.64676569,NA,12.7328479,12.5508622,11.65236101,12.74950703,12.74415479,11.93072256,11.9834675
A0AV96,15.40401392,15.46099015,15.43411996,15.42515688,15.47824823,15.45789384,15.44858418,15.4505218,15.43587207,12.56701964,11.51956254,10.30436273,11.19761602,12.21133775,11.78291223,11.74193882,12.38980609,NA,15.45930674,15.4718276,15.47219581,15.45591153,15.48588904,15.45735523,15.43736521,15.50077032,15.44563567,12.21079917,NA,NA,12.17844389,NA,12.16575809,12.65780076,NA,NA
A0AVF1,13.87028765,13.88798213,13.79372522,13.78041674,13.82151491,13.78527876,13.75852513,13.86744285,13.85847645,13.50375122,13.66028565,13.6516908,13.60654402,13.55366529,13.4732745,13.57700389,13.4269854,13.69631556,13.87561498,13.72410878,13.93203939,13.74028673,14.02261055,13.83010912,13.72748443,13.80794854,14.12539733,13.72947205,13.69468435,13.72745252,13.62700942,13.71579043,13.74776291,13.71588694,13.73798667,13.75021498
A0AVI4,11.30553169,11.44257034,10.76576678,10.79342449,10.78861231,11.26074315,10.99971115,11.04103622,11.03569263,11.91997315,11.81803088,11.67667556,11.79955686,11.777132,11.79517113,11.57841043,11.74137007,11.69015952,11.31559114,11.5243801,11.02396915,11.61034665,11.76242357,11.08091743,11.72368654,11.08187618,11.32687885,12.55860487,12.56294118,12.24943942,12.49686875,12.63821868,12.02007363,12.62330539,12.4651965,12.29306637
A0AVK6,12.28793454,12.01479114,12.38905049,11.95800163,12.50369657,12.13062848,12.63065392,12.27176356,12.5545313,NA,NA,12.58824849,9.550971828,NA,NA,NA,NA,9.642078777,11.83763976,12.29989485,11.82875136,11.82903293,12.61150439,12.36360915,12.38423063,12.44356521,12.02230192,NA,NA,NA,9.870617477,NA,NA,NA,10.52061868,NA
A0AVT1,17.00616169,17.00579996,17.02470683,16.99148863,17.03712865,17.01552395,17.01929752,17.02432808,16.99323695,16.61925996,16.57712194,16.59458995,16.56821889,16.58429606,16.58384083,16.62165127,16.60788076,16.61511233,16.91314654,16.89874308,16.93977432,16.89005048,16.9298363,16.95753286,16.88134104,16.88900479,16.8753294,16.52734871,16.5368649,16.54530388,16.45310019,16.524355,16.53671165,16.50838749,16.48710519,16.48832031
