FullRunName,class ,machine
CAD_A549_rep1.1,A549,CAD
CAD_A549_rep1.2,A549,CAD
CAD_A549_rep1.3,A549,CAD
CAD_A549_rep1.4,A549,CAD
CAD_A549_rep2.1,A549,CAD
CAD_A549_rep2.2,A549,CAD
CAD_A549_rep2.3,A549,CAD
CAD_A549_rep2.4,A549,CAD
CAD_A549_rep3.1,A549,CAD
CAD_A549_rep3.2,A549,CAD
CAD_A549_rep3.3,A549,CAD
CAD_A549_rep3.4,A549,CAD
CAD_K562_rep1.1,K562,CAD
CAD_K562_rep1.2,K562,CAD
CAD_K562_rep1.3,K562,CAD
CAD_K562_rep1.4,K562,CAD
CAD_K562_rep2.1,K562,CAD
CAD_K562_rep2.2,K562,CAD
CAD_K562_rep2.3,K562,CAD
CAD_K562_rep2.4,K562,CAD
CAD_K562_rep3.1,K562,CAD
CAD_K562_rep3.2,K562,CAD
CAD_K562_rep3.3,K562,CAD
CAD_K562_rep3.4,K562,CAD
N_A549_rep1.1,A549,N
N_A549_rep1.2,A549,N
N_A549_rep1.3,A549,N
N_A549_rep1.4,A549,N
N_A549_rep2.1,A549,N
N_A549_rep2.2,A549,N
N_A549_rep2.3,A549,N
N_A549_rep2.4,A549,N
N_A549_rep3.1,A549,N
N_A549_rep3.2,A549,N
N_A549_rep3.3,A549,N
N_A549_rep3.4,A549,N
N_K562_rep1.1,K562,N
N_K562_rep1.2,K562,N
N_K562_rep1.3,K562,N
N_K562_rep1.4,K562,N
N_K562_rep2.1,K562,N
N_K562_rep2.2,K562,N
N_K562_rep2.3,K562,N
N_K562_rep2.4,K562,N
N_K562_rep3.1,K562,N
N_K562_rep3.2,K562,N
N_K562_rep3.3,K562,N
N_K562_rep3.4,K562,N
